"","Estacao","Data","Hora","Precipitacao","TempMaxima","TempMinima","Insolacao","Evaporacao_Piche","Temp_Comp_Media","UR_Media","Vel_Vent_Media","NA"
"185",83309,"03/04/1961",1200,0.4,NA,21.6,NA,NA,NA,NA,NA,NA
"186",83309,"04/04/1961",0,NA,34,NA,NA,3.5,26.34,74.25,1.333333,NA
"187",83309,"04/04/1961",1200,0,NA,21.7,NA,NA,NA,NA,NA,NA
"188",83309,"05/04/1961",0,NA,32.2,NA,NA,2.6,25.74,84.5,1.333333,NA
"189",83309,"05/04/1961",1200,0,NA,22.1,NA,NA,NA,NA,NA,NA
"190",83309,"06/04/1961",0,NA,33.6,NA,NA,2.1,24.98,84,1.333333,NA
"191",83309,"06/04/1961",1200,12.2,NA,21.4,NA,NA,NA,NA,NA,NA
"192",83309,"07/04/1961",0,NA,35,NA,NA,2.3,26.04,75.25,1.333333,NA
"193",83309,"07/04/1961",1200,0,NA,20.4,NA,NA,NA,NA,NA,NA
"194",83309,"08/04/1961",0,NA,34.9,NA,NA,4.3,27.96,72,1.333333,NA
"195",83309,"08/04/1961",1200,0,NA,21.4,NA,NA,NA,NA,NA,NA
"196",83309,"09/04/1961",0,NA,33.4,NA,NA,4.1,26.32,79.75,0.666667,NA
"197",83309,"09/04/1961",1200,0,NA,21.6,NA,NA,NA,NA,NA,NA
"198",83309,"10/04/1961",0,NA,35,NA,NA,2.7,27.52,73.25,0.666667,NA
"199",83309,"10/04/1961",1200,0,NA,21.7,NA,NA,NA,NA,NA,NA
"200",83309,"11/04/1961",0,NA,33.6,NA,NA,4.2,26.02,80.5,1,NA
"201",83309,"11/04/1961",1200,0,NA,21.7,NA,NA,NA,NA,NA,NA
"202",83309,"12/04/1961",0,NA,34.8,NA,NA,3.5,27.18,72.5,0.333333,NA
"203",83309,"12/04/1961",1200,0,NA,21.5,NA,NA,NA,NA,NA,NA
"204",83309,"13/04/1961",0,NA,33.8,NA,NA,4.3,26.18,80.5,1.333333,NA
"205",83309,"13/04/1961",1200,0,NA,22.4,NA,NA,NA,NA,NA,NA
"206",83309,"14/04/1961",0,NA,34.4,NA,NA,2.7,26.16,78.25,0.333333,NA
"207",83309,"14/04/1961",1200,0.9,NA,21.3,NA,NA,NA,NA,NA,NA
"208",83309,"15/04/1961",0,NA,33.2,NA,NA,3.2,25.96,82,1.666667,NA
"209",83309,"15/04/1961",1200,0,NA,21.8,NA,NA,NA,NA,NA,NA
"210",83309,"16/04/1961",0,NA,32.6,NA,NA,2.9,25.82,83,1,NA
"211",83309,"16/04/1961",1200,0,NA,21.9,NA,NA,NA,NA,NA,NA
"212",83309,"17/04/1961",0,NA,34.6,NA,NA,2.6,27.48,76.25,0.666667,NA
"213",83309,"17/04/1961",1200,0,NA,23,NA,NA,NA,NA,NA,NA
"214",83309,"18/04/1961",0,NA,26.6,NA,NA,2.9,23.82,93.5,0.666667,NA
"215",83309,"18/04/1961",1200,5.5,NA,22.8,NA,NA,NA,NA,NA,NA
"216",83309,"19/04/1961",0,NA,32.2,NA,NA,0.9,25.58,81.75,1.333333,NA
"217",83309,"19/04/1961",1200,0.9,NA,21.7,NA,NA,NA,NA,NA,NA
"218",83309,"20/04/1961",0,NA,26.2,NA,NA,2.8,24.18,93.5,0.333333,NA
"219",83309,"20/04/1961",1200,0,NA,22.6,NA,NA,NA,NA,NA,NA
"220",83309,"21/04/1961",0,NA,30.4,NA,NA,0.7,25.36,85.5,0.666667,NA
"221",83309,"21/04/1961",1200,3.4,NA,22.2,NA,NA,NA,NA,NA,NA
"222",83309,"22/04/1961",0,NA,32.2,NA,NA,2.3,25.64,76.5,2,NA
"223",83309,"22/04/1961",1200,0,NA,21.8,NA,NA,NA,NA,NA,NA
"224",83309,"23/04/1961",0,NA,30.4,NA,NA,3,25.18,83.5,1.333333,NA
"225",83309,"23/04/1961",1200,0,NA,21.9,NA,NA,NA,NA,NA,NA
"226",83309,"24/04/1961",0,NA,29.9,NA,NA,2,24.96,86.5,1.333333,NA
"227",83309,"24/04/1961",1200,0,NA,23,NA,NA,NA,NA,NA,NA
"228",83309,"25/04/1961",0,NA,32,NA,NA,2.1,25.16,82.25,0.666667,NA
"229",83309,"25/04/1961",1200,0,NA,21,NA,NA,NA,NA,NA,NA
"230",83309,"26/04/1961",0,NA,31.5,NA,NA,2.3,24.94,86.5,0.666667,NA
"231",83309,"26/04/1961",1200,3.8,NA,22.5,NA,NA,NA,NA,NA,NA
"232",83309,"27/04/1961",0,NA,30,NA,NA,2.1,25.06,83.75,1,NA
"233",83309,"27/04/1961",1200,0,NA,22.1,NA,NA,NA,NA,NA,NA
"234",83309,"28/04/1961",0,NA,32.9,NA,NA,2.3,26.34,80.25,0.333333,NA
